instrument_code,mission_name,instrument_name,before_description,llm_description
spase://SMWG/Instrument/DynamicsExplorer1/PWI,Dynamics Explorer 1,PWI,Dynamics Explorer 1 Plasma Waves Instrument (PWI),Dynamics Explorer 1 PWI plasma wave instrument measuring AC electric and magnetic fields from ELF to HF frequencies
spase://SMWG/Instrument/DynamicsExplorer2/Ephemeris,Dynamics Explorer 2,Ephemeris,DynamicsExplorer2 Positions,Dynamics Explorer 2 ephemeris providing spacecraft position vectors in multiple coordinate systems
spase://SMWG/Instrument/DynamicsExplorer2/MAGB,Dynamics Explorer 2,MAGB,Magnetic Field Observations (MAG-B),Dynamics Explorer 2 MAG-B triaxial fluxgate magnetometer measuring vector magnetic fields for field-aligned current studies
spase://SMWG/Instrument/DynamicsExplorer2/VEFI,Dynamics Explorer 2,VEFI,Vector Electric Field Instrument (VEFI),Dynamics Explorer 2 VEFI double-probe electric field instrument measuring triaxial DC electric fields at ionospheric altitudes
spase://SMWG/Instrument/DynamicsExplorer2/RPA,Dynamics Explorer 2,RPA,Retarding Potential Analyzer (RPA),"Dynamics Explorer 2 RPA retarding potential analyzer measuring ion drift velocity, ion composition, and ion temperature along the spacecraft track"
spase://SMWG/Instrument/DynamicsExplorer2/NACS,Dynamics Explorer 2,NACS,Neutral Atmosphere Composition Spectrometer (NACS),Dynamics Explorer 2 NACS neutral mass spectrometer measuring in situ thermospheric neutral atmospheric composition
spase://SMWG/Instrument/DynamicsExplorer2/FPI,Dynamics Explorer 2,FPI,Fabry-Perot Interferometer (FPI),"Dynamics Explorer 2 FPI Fabry-Perot interferometer measuring thermospheric temperature, meridional winds, and atomic oxygen emission line densities"
spase://SMWG/Instrument/DynamicsExplorer2/LANG,Dynamics Explorer 2,LANG,Langmuir Probe (LANG),"Dynamics Explorer 2 LANG Langmuir probe measuring electron temperature, plasma density, and spacecraft potential"
spase://SMWG/Instrument/DynamicsExplorer2/IDM,Dynamics Explorer 2,IDM,Ion Drift Meter (IDM),Dynamics Explorer 2 IDM ion drift meter measuring horizontal and vertical ionospheric plasma drift velocities perpendicular to the spacecraft velocity vector
spase://SMWG/Instrument/DynamicsExplorer2/WATS,Dynamics Explorer 2,WATS,Wind and Temperature Spectrometer (WATS),"Dynamics Explorer 2 WATS neutral mass spectrometer measuring in situ thermospheric neutral winds, temperatures, and selected gas concentrations"
spase://SMWG/Instrument/DynamicsExplorer1/SAI,Dynamics Explorer 1,SAI,DE 1 Spin-Scan Auroral Imager,Dynamics Explorer 1 SAI spin-scan auroral imager providing global visible and ultraviolet auroral images and hydrogen corona photometry
spase://SMWG/Instrument/DynamicsExplorer1/EICS,Dynamics Explorer 1,EICS,DE 1 Energetic Ion Composition Spectrometer,Dynamics Explorer 1 EICS energetic ion composition spectrometer measuring ion mass composition and energy-per-charge distributions
spase://SMWG/Instrument/DMSP_5D-3/F16/SESS/SSI/ES-3,DMSP Series,ES-3,"DMSP/F16, SESS Special Sensor Ionospheric Plasma Drift/Scintillation Monitor-3, SESS/SSI/ES-3",DMSP F16 SSIES/ES-3 Langmuir probe measuring ambient ionospheric electron density and temperature
spase://SMWG/Instrument/DMSP_5D-3/F16/SESS/SSJ5,DMSP Series,SSJ5,"DMSP/F16, SESS Special Sensor Precipitating Electron and Ion Spectrometer 5, SESS/SSJ5",DMSP F16 SESS/SSJ5 electrostatic spectrometer measuring precipitating electron and ion energy fluxes from 50 eV to 30 keV
spase://SMWG/Instrument/DMSP_5D-3/F16/SESS/SSM-Boom,DMSP Series,SSM-Boom,"DMSP/F16, SESS Special Sensor Magnetometer-Boom, SESS/SSM-Boom",DMSP F16 SESS/SSM-Boom triaxial fluxgate magnetometer measuring geomagnetic field fluctuations
spase://SMWG/Instrument/DMSP_5D-3/F17/SESS/SSI/ES-3,DMSP Series,ES-3,"DMSP/F17, SESS Special Sensor Ionospheric Plasma Drift/Scintillation Monitor-3, SESS/SSI/ES-3","DMSP F17 SESS/SSI ES-3 Langmuir probe measuring ionospheric electron density and temperature, ion density, plasma drift, and scintillation"
spase://SMWG/Instrument/DMSP_5D-3/F17/SESS/SSJ5,DMSP Series,SSJ5,"DMSP/F17, SESS Special Sensor Precipitating Electron and Ion Spectrometer 5, SESS/SSJ5",DMSP F17 SESS/SSJ5 electrostatic spectrometer measuring precipitating electron and ion energy fluxes from 50 eV to 30 keV
spase://SMWG/Instrument/DMSP_5D-3/F17/SESS/SSM-Boom,DMSP Series,SSM-Boom,"DMSP/F17, Special Sensor Magnetometer, SESS/SSM-Boom",DMSP F17 SESS/SSM-Boom triaxial fluxgate magnetometer measuring geomagnetic field fluctuations
spase://SMWG/Instrument/DMSP_5D-3/F18/SESS/SSI/ES-3,DMSP Series,ES-3,"DMSP/F18, SESS Special Sensor Ionospheric Plasma Drift/Scintillation Monitor-3, SESS/SSI/ES-3","DMSP F18 SESS/SSI ES-3 Langmuir probe measuring ionospheric electron density and temperature, ion density, plasma drift, and scintillation"
spase://SMWG/Instrument/DMSP_5D-3/F18/SESS/SSJ5,DMSP Series,SSJ5,"DMSP/F18, SESS Special Sensor Precipitating Electron and Ion Spectrometer 5, SESS/SSJ5",DMSP-F18 SESS/SSJ5 electrostatic spectrometer measuring precipitating electron and ion energy fluxes from 50 eV to 30 keV
spase://SMWG/Instrument/DMSP_5D-3/F18/SESS/SSM-Boom,DMSP Series,SSM-Boom,"DMSP/F18, Special Sensor Magnetometer, SESS/SSM-Boom",DMSP F18 SSM-Boom triaxial fluxgate magnetometer measuring geomagnetic field fluctuations
spase://SMWG/Instrument/SuperDARN/Radars,SuperDARN,Radars,SuperDARN Radars,SuperDARN HF coherent scatter radars measuring high-latitude ionospheric plasma convection and irregularities
spase://SMWG/Instrument/DSCOVR/Ephemeris,"Deep Space Climate Observatory, DSCOVR",Ephemeris,"DSCOVR Instrument for Spacecraft Ephemeris, Orbit and Attitude","DSCOVR ephemeris and attitude data product providing spacecraft position, orbit, and pointing information"
spase://SMWG/Instrument/DSCOVR/PlasMag/FluxgateMagnetometer,"Deep Space Climate Observatory, DSCOVR",FluxgateMagnetometer,DSCOVR PlasMag Fluxgate Magnetometer,DSCOVR PlasMag fluxgate magnetometer measuring three-axis interplanetary magnetic field vectors at L1
spase://SMWG/Instrument/DSCOVR/PlasMag/FaradayCup,"Deep Space Climate Observatory, DSCOVR",FaradayCup,DSCOVR PlasMag Faraday Cup,DSCOVR PlasMag Faraday cup measuring solar wind positive ion plasma parameters
spase://SMWG/Instrument/Equator-S/Ephemeris,Equator-S,Ephemeris,Equator-S Positions,Equator-S ephemeris providing spacecraft position vectors in multiple coordinate systems
spase://SMWG/Instrument/Equator-S/EDI,Equator-S,EDI,Electron Drift Instrument (EDI),Equator-S EDI electron drift instrument measuring electric fields from modulated test electron beam drift in the ambient magnetic field
spase://SMWG/Instrument/Equator-S/EPI,Equator-S,EPI,Energetic Particle Instrument (EPI),Equator-S 3DA/EPI energetic particle telescope measuring suprathermal electrons and ions from ~20 to 400 keV
spase://SMWG/Instrument/Equator-S/ICI,Equator-S,ICI,Ion Composition Instrument (ESIC),"Equator-S ICI ion composition spectrometer measuring 3D distribution functions of H+, He+, He++, and O+ ions"
spase://SMWG/Instrument/Equator-S/MAM,Equator-S,MAM,Magnetic Field Instrument (MAM),Equator-S MAM dual fluxgate magnetometer measuring three-axis in-situ magnetic field vectors
spase://SMWG/Instrument/Equator-S/PCD,Equator-S,PCD,Potential Control Device (PCD),Equator-S PCD spacecraft potential control device emitting 6 keV indium ion beams to reduce spacecraft charging
spase://SMWG/Instrument/Equator-S/SFD,Equator-S,SFD,Scintillating Fiber Detector (SFD),Equator-S SFD scintillating fiber detector measuring energetic electron fluxes with three-channel energy discrimination
spase://SMWG/Instrument/FAST/Ephemeris,FAST,Ephemeris,FAST Position,FAST spacecraft ephemeris providing spacecraft position and trajectory information
spase://SMWG/Instrument/FAST/MAG,FAST,MAG,Tri-Axial Fluxgate and Search-coil Magnetometers,FAST MAG tri-axial fluxgate and search-coil magnetometers measuring DC to AC magnetic field vectors and fluctuations
spase://SMWG/Instrument/FAST/ESA,FAST,ESA,Electro-Static Analyzers (ESA),FAST ESA electrostatic analyzers measuring ion and electron energy distributions over a 360° field of view
spase://SMWG/Instrument/FAST/EFLP,FAST,EFLP,Electric Field and Langmuir Probe Experiment,FAST EFLP electric field and Langmuir probe measuring DC/AC electric fields and plasma density/temperature
spase://SMWG/Instrument/FAST/TEAMS,FAST,TEAMS,Time of Flight Energy Angle Mass Spectrograph,FAST TEAMS time-of-flight ion mass spectrometer measuring 3D ion composition and distribution functions of major auroral ion species
spase://SMWG/Instrument/Ground/Kilpisjarvi/AllSkyCamera,Kilpisjarvi Geophysical Observatory,AllSkyCamera,Kilpisjarvi All Sky Camera,Kilpisjarvi Geophysical Observatory all-sky auroral imager with fisheye optics capturing color images of the visible aurora
spase://SMWG/Instrument/GOES/10/SEM,Geostationary Operational Environmental Satellites,SEM,Space Environment Monitor (SEM),"GOES-10 SEM space environment monitor measuring energetic particles, magnetospheric electrons and protons, and solar X-ray flux"
spase://SMWG/Instrument/GOES/10/MAG,Geostationary Operational Environmental Satellites,MAG,"GOES 10, Triaxial Fluxgate Magnetometer",GOES-10 MAG triaxial fluxgate magnetometer measuring three-axis geomagnetic field vectors at geostationary orbit
spase://SMWG/Instrument/GOES/11/MAG,Geostationary Operational Environmental Satellites,MAG,"GOES 11, Triaxial Fluxgate Magnetometer",GOES-11 MAG triaxial fluxgate magnetometer measuring the geomagnetic field at geostationary orbit
spase://SMWG/Instrument/GOES/12/MAG,Geostationary Operational Environmental Satellites,MAG,"GOES 12, Triaxial Fluxgate Magnetometer",GOES-12 MAG triaxial fluxgate magnetometer measuring in-situ geomagnetic field vectors at geostationary orbit
spase://SMWG/Instrument/GOES/6/EPM,Geostationary Operational Environmental Satellites,EPM,Energetic Particle Monitor,"GOES-6 EPM energetic particle monitor measuring energetic proton, alpha particle, and >500 keV electron fluxes"
spase://SMWG/Instrument/GOES/6/MAG,Geostationary Operational Environmental Satellites,MAG,Biaxial Fluxgate Magnetometer,GOES-6 MAG biaxial fluxgate magnetometer measuring three-axis geomagnetic field vectors at geostationary orbit
spase://SMWG/Instrument/GOES/7/EPM,Geostationary Operational Environmental Satellites,EPM,Energetic Particle Monitor,"GOES-7 EPM energetic particle monitor measuring energetic proton, alpha-particle, and electron fluxes"
spase://SMWG/Instrument/GOES/7/MAG,Geostationary Operational Environmental Satellites,MAG,Magnetic Field Monitor,GOES-7 MAG twin-fluxgate magnetometer measuring three-axis geomagnetic field components at geostationary orbit
spase://SMWG/Instrument/GOES/8/EPM,Geostationary Operational Environmental Satellites,EPM,Energetic Particle Monitor,"GOES-8 EPM energetic particle monitor measuring energetic proton, alpha, and electron fluxes"
spase://SMWG/Instrument/GOES/8/MAG,Geostationary Operational Environmental Satellites,MAG,"GOES 8, Triaxial Fluxgate Magnetometer",GOES-8 MAG triaxial fluxgate magnetometer measuring three-axis geomagnetic field vectors at geostationary orbit
spase://SMWG/Instrument/GOES/8/Ephemeris,Geostationary Operational Environmental Satellites,Ephemeris,GOES 8 Position,GOES-8 ephemeris data product providing spacecraft position and orbit information
spase://SMWG/Instrument/GOES/9/SEM,Geostationary Operational Environmental Satellites,SEM,Space Environment Monitor,"GOES-9 SEM space environment monitor measuring energetic particles, solar X-ray flux, and magnetic field at geostationary orbit"
spase://SMWG/Instrument/GOES/9/MAG,Geostationary Operational Environmental Satellites,MAG,"GOES 9, Triaxial Fluxgate Magnetometer",GOES-9 MAG triaxial fluxgate magnetometer measuring the geomagnetic field at geostationary orbit
spase://SMWG/Instrument/GOES/9/Ephemeris,Geostationary Operational Environmental Satellites,Ephemeris,GOES 9 Position,GOES-9 ephemeris spacecraft position data for the Geostationary Operational Environmental Satellite platform
spase://SMWG/Instrument/Galileo/Ephemeris,Galileo,Ephemeris,Galileo Positions,Galileo spacecraft ephemeris providing spacecraft position and trajectory information
spase://SMWG/Instrument/Genesis/GIM-GEM,Genesis,GIM-GEM,Genesis Plasma Spectrometers,Genesis GIM-GEM electrostatic plasma spectrometers measuring solar wind ion and electron distributions
spase://SMWG/Instrument/Geotail/CPI,Geotail,CPI,Geotail CPI,Geotail CPI quadrispherical plasma analyzer measuring 3D ion and electron velocity distribution functions with ion composition
spase://SMWG/Instrument/Geotail/MGF,Geotail,MGF,Geotail MGF,Geotail MGF dual fluxgate and search-coil magnetometer measuring DC to 50 Hz magnetic field variations in the magnetotail
spase://SMWG/Instrument/Geotail/Ephemeris,Geotail,Ephemeris,Geotail Spacecraft Position,Geotail ephemeris providing spacecraft position in various coordinate systems
spase://SMWG/Instrument/Geotail/LEP,Geotail,LEP,Geotail Low Energy Particle Experiment,Geotail LEP quadrispherical electrostatic analyzer measuring low-energy ion and electron distributions in the magnetotail and solar wind
spase://SMWG/Instrument/Geotail/CPI/SWA,Geotail,SWA,Geotail CPI,Geotail CPI/SWA quadrispherical electrostatic analyzer measuring 3D solar wind ion fluxes from 150 to 7000 eV/q
spase://SMWG/Instrument/Geotail/CPI/HPA,Geotail,HPA,Geotail CPI,Geotail CPI/HPA quadrispherical electrostatic analyzer measuring 3D electron and ion fluxes from 1 eV/Q to 50 keV/Q
spase://SMWG/Instrument/Geotail/EPIC,Geotail,EPIC,Geotail Energetic Particles and Ion Composition,Geotail EPIC energetic particle and ion composition analyzer measuring suprathermal and nonthermal ions in the magnetosphere and distant magnetotail
spase://SMWG/Instrument/Geotail/PWI,Geotail,PWI,Geotail Plasma Wave Investigation (PWI),Geotail PWI plasma wave receiver measuring electric and magnetic field waveforms and spectra in the magnetosphere
spase://SMWG/Instrument/Giotto/Ephemeris,Giotto,Ephemeris,Giotto Positions,Giotto ephemeris data set providing spacecraft position and trajectory information
spase://SMWG/Instrument/GOES/10/Ephemeris,Geostationary Operational Environmental Satellites,Ephemeris,GOES 10 Position,GOES-10 ephemeris providing spacecraft position and orbit information for the Geostationary Operational Environmental Satellites mission
spase://SMWG/Instrument/GOES/11/Ephemeris,Geostationary Operational Environmental Satellites,Ephemeris,GOES 11 Positions,GOES-11 ephemeris providing spacecraft position and orbit information for the Geostationary Operational Environmental Satellites mission
spase://SMWG/Instrument/GOES/11/SEM,Geostationary Operational Environmental Satellites,SEM,Environment Monitor,"GOES-11 SEM space environment monitor measuring energetic particles, solar X-ray flux, and magnetic fields"
spase://SMWG/Instrument/GOES/12/Ephemeris,Geostationary Operational Environmental Satellites,Ephemeris,GOES 12 Positions,GOES-12 ephemeris spacecraft position data for the Geostationary Operational Environmental Satellites mission
spase://SMWG/Instrument/GOES/13/EPS,Geostationary Operational Environmental Satellites,EPS,Energetic Particle Monitor,"GOES-13 EPS energetic particle sensor measuring geosynchronous electrons, protons, and alpha particles"
spase://SMWG/Instrument/GOES/13/Ephemeris,Geostationary Operational Environmental Satellites,Ephemeris,GOES 13 Positions,GOES-13 ephemeris providing spacecraft position and orbit information
spase://SMWG/Instrument/GOES/13/MAG,Geostationary Operational Environmental Satellites,MAG,Triaxial Fluxgate Magnetometer,GOES-13 MAG triaxial fluxgate magnetometer measuring the local geomagnetic field vector and magnetic field variations
spase://SMWG/Instrument/GOES/13/SEM,Geostationary Operational Environmental Satellites,SEM,Space Environment Monitor,"GOES-13 SEM space environment monitor measuring energetic particles, solar X-ray flux, and geomagnetic field vectors"
spase://SMWG/Instrument/GOES/14/EPS,Geostationary Operational Environmental Satellites,EPS,Energetic Particle Monitor,"GOES-14 EPS energetic particle monitor measuring geosynchronous electrons, protons, and alpha particles"
spase://SMWG/Instrument/GOES/14/Ephemeris,Geostationary Operational Environmental Satellites,Ephemeris,GOES 14 Positions,GOES-14 ephemeris data product providing spacecraft position and orbit information
spase://SMWG/Instrument/GOES/14/MAG,Geostationary Operational Environmental Satellites,MAG,Triaxial Fluxgate Magnetometer,GOES-14 MAG triaxial fluxgate magnetometer measuring geomagnetic field magnitude and direction near geostationary orbit
spase://SMWG/Instrument/GOES/14/SEM,Geostationary Operational Environmental Satellites,SEM,Space Environment Monitor,"GOES-14 SEM space environment monitor measuring energetic particles, solar X-ray flux, and geomagnetic field vectors"
spase://SMWG/Instrument/GOES/15/EPS,Geostationary Operational Environmental Satellites,EPS,Energetic Particle Monitor,"GOES-15 EPS energetic particle monitor measuring geosynchronous electrons, protons, and alpha particles"
spase://SMWG/Instrument/GOES/15/Ephemeris,Geostationary Operational Environmental Satellites,Ephemeris,GOES 15 Positions,GOES-15 spacecraft ephemeris providing orbital position and attitude for the Geostationary Operational Environmental Satellite platform
spase://SMWG/Instrument/GOES/15/MAG,Geostationary Operational Environmental Satellites,MAG,Triaxial Fluxgate Magnetometer,GOES-15 MAG triaxial fluxgate magnetometer measuring the local geomagnetic field vector and magnetic field variations
spase://SMWG/Instrument/GOES/15/SEM,Geostationary Operational Environmental Satellites,SEM,Space Environment Monitor,"GOES-15 SEM space environment monitor measuring energetic particles, solar X-ray flux, and geomagnetic field vectors"
spase://SMWG/Instrument/GOES/16/Ephemeris,Geostationary Operational Environmental Satellites,Ephemeris,GOES 16 Positions,GOES-16 ephemeris providing spacecraft position and orbit information for the Geostationary Operational Environmental Satellites mission
spase://SMWG/Instrument/GOES/17/Ephemeris,Geostationary Operational Environmental Satellites,Ephemeris,GOES 17 Positions,GOES-17 ephemeris/position data product providing spacecraft location and orbit information
spase://SMWG/Instrument/GOLD,GOLD,GOLD,GOLD,GOLD far-ultraviolet imaging spectrograph measuring thermospheric and ionospheric airglow on the Earth’s limb and disk
spase://SMWG/Instrument/IGS/GPS_Receiver,International GNSS Service (IGS),GPS_Receiver,International GNSS Service (IGS) GPS Receiver,IGS GPS receiver measuring GNSS tracking signals and raw orbit data for ionospheric total electron content and geodetic positioning
spase://SMWG/Instrument/Helios1/E3,Helios 1,E3,Fluxgate Magnetometer for Average Fields,Helios 1 E3 triaxial fluxgate magnetometer measuring average interplanetary magnetic field vectors
spase://SMWG/Instrument/Helios2/E3,Helios Mission,E3,Fluxgate Magnetometer for Average Fields,Helios E3 boom-mounted triaxial fluxgate magnetometer measuring average interplanetary magnetic field vectors
spase://SMWG/Instrument/Helios1/E1,Helios 1,E1,Helios 1 E1 Plasma Experiment,Helios 1 E1 electrostatic plasma analyzer measuring solar wind ion and electron velocity distribution functions
spase://SMWG/Instrument/Helios1/E6,Helios 1,E6,Cosmic Ray Particles,"Helios 1 E6 energetic particle telescope measuring high-energy cosmic-ray protons, alpha particles, and electrons in interplanetary space"
spase://SMWG/Instrument/Helios1/Ephemeris,Helios 1,Ephemeris,Helios 1 Position,Helios 1 ephemeris providing spacecraft position in multiple coordinate systems
spase://SMWG/Instrument/Helios2/E1,Helios Mission,E1,Helios 2 E1 Plasma Experiment,Helios 2 E1 electrostatic plasma analyzer measuring solar wind ion and electron velocity distribution functions
spase://SMWG/Instrument/Helios2/E6,Helios Mission,E6,Cosmic Ray Particles,"Helios E6 energetic particle telescope measuring high-energy cosmic-ray electrons, protons, and alpha particles in interplanetary space"
spase://SMWG/Instrument/Helios2/Ephemeris,Helios Mission,Ephemeris,Helios 2 Position,Helios 2 ephemeris providing spacecraft position in multiple coordinate systems
spase://SMWG/Instrument/Hawkeye/MAG,Hawkeye,MAG,Triaxial Fluxgate Magnetometer,Hawkeye MAG triaxial fluxgate magnetometer measuring ambient magnetic field vectors
spase://SMWG/Instrument/Hawkeye/VLF,Hawkeye,VLF,Hawkeye VLF,Hawkeye VLF long-wire and search-coil wave instrument measuring DC electric fields and VLF electric and magnetic field spectra
spase://SMWG/Instrument/ISIS1/SFS,ISIS Satellites,SFS,ISIS1 Swept-Frequency Sounder,ISIS 1 swept-frequency topside sounder measuring ionospheric electron density profiles
spase://SMWG/Instrument/ISIS2/SFS,ISIS 2,SFS,ISIS2 Swept-Frequency Sounder,ISIS 2 SFS swept-frequency ionosonde sounder measuring ionospheric electron density profiles from radio echo delays
spase://SMWG/Instrument/IMP8/MAG,IMP Spacecraft Series,MAG,IMP 8 Magnetic Field Experiment,IMP 8 MAG tri-axial fluxgate magnetometer measuring interplanetary magnetic field vectors
spase://SMWG/Instrument/IMP8/MCGUIRE,IMP Spacecraft Series,MCGUIRE,Solar and Cosmic-Ray Particles,"IMP McGuire energetic particle detector measuring solar and galactic cosmic-ray electrons, protons, and heavy ion spectra, composition, and angular distributions"
spase://SMWG/Instrument/IMP8/PLS,IMP Spacecraft Series,PLS,IMP 8 Solar Plasma Faraday Cup,IMP 8 PLS solar plasma Faraday cup measuring solar wind ion and electron directional intensities
spase://SMWG/Instrument/IMP8/Ephemeris,IMP Spacecraft Series,Ephemeris,IMP 8 Spacecraft Position,IMP 8 ephemeris data providing spacecraft position in multiple coordinate systems
spase://SMWG/Instrument/Interball-2/SKA3,Interball-2,SKA3,Electron and proton distribution (SKA-3),"Interball-2 SKA-3 energetic particle spectrometer measuring electron and ion distribution functions for H+, He+, and O+ ions"
spase://SMWG/Instrument/Interball-2/DOK2A,Interball-2,DOK2A,Electron and Proton Anisotropy (DOK-2A),Interball-2 DOK-2A energetic particle spectrometer measuring electron and proton anisotropy in the magnetosphere
spase://SMWG/Instrument/Interball-2/PROMICS3,Interball-2,PROMICS3,Ion Composition and Energy (PROMICS-3),Interball-2 PROMICS-3 electrostatic plasma analyzer measuring 3D ion composition and energy spectra with mass separation and electron energy distributions
spase://SMWG/Instrument/Interball-2/IMAP3,Interball-2,IMAP3,Three-Axis Magnetic Field (IMAP-3),Interball-2 IMAP-3 triaxial magnetometer measuring magnetic field vectors in the inner magnetosphere and auroral zone
spase://SMWG/Instrument/Interball-2/Ephemeris,Interball-2,Ephemeris,Interball-2 Orbit,Interball-2 spacecraft ephemeris providing orbital position and trajectory information
spase://SMWG/Instrument/IBEX/Hi,IBEX,Hi,IBEX-Hi,IBEX-Hi energetic neutral atom imager measuring heliospheric ENAs in six energy bands from 0.38 to 6.0 keV
spase://SMWG/Instrument/IBEX/Ephemeris,IBEX,Ephemeris,Ephemeris,IBEX spacecraft ephemeris providing spacecraft position and trajectory information
spase://SMWG/Instrument/IBEX/Lo,IBEX,Lo,IBEX-Lo,IBEX-Lo energetic neutral atom imager measuring low-energy ENAs from about 0.01 to 2 keV on IBEX
spase://SMWG/Instrument/ICON/MIGHTI,Ionospheric Connection Explorer,MIGHTI,Michelson Interferometer for Global High-resolution Thermospheric Imaging,ICON MIGHTI Michelson interferometer measuring thermospheric horizontal wind vectors
spase://SMWG/Instrument/ICON/FUV,Ionospheric Connection Explorer,FUV,The Far Ultra Violet Imaging Spectrograph,ICON FUV far-ultraviolet imaging spectrograph measuring 2D limb emissions of the ionosphere and thermosphere
spase://SMWG/Instrument/ICON/EUV,Ionospheric Connection Explorer,EUV,The Extreme Ultraviolet Spectrograph,ICON EUV extreme ultraviolet imaging spectrograph measuring ionospheric O+ density profiles and airglow emissions
spase://SMWG/Instrument/ICON/IVM,Ionospheric Connection Explorer,IVM,The Ion Velocity Meter,"ICON IVM ion velocity meter and retarding potential analyzer measuring ion drift, ion temperature, and plasma density in the ionosphere"
spase://SMWG/Instrument/Ground/Thule.Air.Base/Magnetometer,Thule Air Base Geophysical Observatory,Magnetometer,Thule Air Base Magnetometer,Thule Air Base Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Vostok/Magnetometer,IAGA,Magnetometer,Vostok Magnetometer,Vostok IAGA ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/IMAGE/EUV,IMAGE,EUV,Extreme Ultraviolet Imager (EUV),IMAGE EUV extreme ultraviolet imager mapping resonantly scattered 30.4 nm He+ emission from Earth's plasmasphere
spase://SMWG/Instrument/IMAGE/RPI,IMAGE,RPI,Radio Plasma Imager (RPI),IMAGE RPI long-wire radio plasma imager measuring magnetospheric plasma density and low-frequency radio/plasma waves
spase://SMWG/Instrument/IMAGE/HK,IMAGE,HK,IMAGE HK - Housekeeping,"IMAGE housekeeping telemetry monitoring spacecraft attitude, power, thermal, communications, and flight software status"
spase://SMWG/Instrument/IMAGE/Ephemeris,IMAGE,Ephemeris,IMAGE Positions,IMAGE ephemeris data product providing spacecraft position vectors in multiple coordinate systems
spase://SMWG/Instrument/ISEE3/Ephemeris,ISEE Mission,Ephemeris,ISEE 3 Position,ISEE 3 ephemeris providing spacecraft position in GSE coordinates
spase://SMWG/Instrument/ISEE3/MAG,ISEE Mission,MAG,ISEE 3 Vector Helium Magnetometer,ISEE-3 vector helium magnetometer measuring steady and low-frequency interplanetary magnetic field vectors
spase://SMWG/Instrument/ISEE3/SWP,ISEE Mission,SWP,ISEE 3 Solar Wind Plasma,ISEE 3 SWP electrostatic plasma analyzer measuring solar wind proton and electron velocity distribution functions
spase://SMWG/Instrument/ISEE1/MAG,ISEE 1,MAG,"ISEE 1 Fluxgate Magnetometer, Tri-axial",ISEE 1 MAG triaxial fluxgate magnetometer measuring three-component magnetic fields in and around the magnetosphere
spase://SMWG/Instrument/ISEE1/VES,ISEE 1,VES,ISEE 1 Vector Electron Spectrometer (VES),ISEE 1 VES electrostatic electron spectrometer measuring three-dimensional electron distribution functions
spase://SMWG/Instrument/ISEE1/FPE,ISEE 1,FPE,ISEE 1 Fast Plasma Experiment (FPE) and Solar Wind Ion Experiment (SWE),ISEE 1 FPE electrostatic plasma analyzer measuring ion and electron velocity distribution functions in the solar wind and magnetosphere
spase://SMWG/Instrument/ISEE1/PWE,ISEE 1,PWE,ISEE-1 Plasma wave experiment,ISEE 1 PWE plasma wave antenna and search-coil receiver measuring electric and magnetic wave fields in the magnetosphere and solar wind
spase://SMWG/Instrument/ISEE2/MAG,ISEE Mission,MAG,"ISEE 2 Fluxgate Magnetometer, Tri-axial",ISEE-2 MAG triaxial fluxgate magnetometer measuring three-axis magnetic field vectors in and around the magnetosphere
spase://SMWG/Instrument/ISEE2/FPE,ISEE Mission,FPE,ISEE 2 Fast Plasma Experiment,ISEE 2 FPE electrostatic plasma analyzer measuring ion and electron velocity distribution functions
spase://SMWG/Instrument/ISS/AMS-02,International Space Station,AMS-02,"International Space Station, Alpha Magnetic Spectrometer-02, AMS-02","International Space Station AMS-02 magnetic spectrometer measuring cosmic-ray particle composition, charge, and energy spectra"
spase://SMWG/Instrument/ISS/TEPC,International Space Station,TEPC,"International Space Station, Tissue-Equivalent Dose Analyzer, TEPC",International Space Station TEPC tissue-equivalent proportional counter measuring absorbed dose and dose equivalent from the radiation environment
spase://SMWG/Instrument/ISS/FPMU,International Space Station,FPMU,"International Space Station, Floating Potential Measurement Unit, FPMU",International Space Station FPMU Langmuir probe measuring spacecraft floating potential and plasma charging
spase://SMWG/Instrument/Interball-1/MIFM,Interball-1,MIFM,Multicomponent Investigations of Fluctuations of Magnetic Fields (MIF-M),Interball-1 MIF-M multicomponent magnetometer measuring DC and AC magnetic field fluctuations and wave fields
spase://SMWG/Instrument/Interball-1/FM3I,Interball-1,FM3I,Fluxgate DC Magnetometer FM-3I,Interball-1 FM3I fluxgate magnetometer measuring three-axis DC magnetic field vectors
spase://SMWG/Instrument/Interball-1/FGMI,Interball-1,FGMI,Interball-1 Tri-axial Fluxgate Magnetometer FGM-I,Interball-1 FGMI triaxial fluxgate magnetometer measuring three-component magnetic fields on the Tail Probe
spase://SMWG/Instrument/Interball-1/AKR2,Interball-1,AKR2,Kilometric Radioemission 100 KHz - 1.5 MHz (AKR-2),Interball-1 AKR-2 loop antenna radio receiver measuring kilometric radio emission intensity from 100 kHz to 1.5 MHz
spase://SMWG/Instrument/Interball-1/CORALL,Interball-1,CORALL,Interball-1 Wide-range 3D Ion Spectrometer (CORALL),Interball-1 CORALL wide-range 3D ion electrostatic spectrometer measuring ion energy-per-charge distributions
