instrument_code,mission_name,before_name,after_name,before_description,after_description,changed
spase://SMWG/Instrument/CRRES/MEA,CRRES,MEA,Medium Electron Sensor,Medium Electron Sensor,"EnergeticParticleInstrument: The Medium Electron Sensor, also called MEA or Sensor A, was one of the two parts of the Medium Energy Electron Spectrometer and measured the temporal, spectral, and directional variations of the electron fluxes at approximate energies of 100-2000 KeV.",yes
spase://SMWG/Instrument/CubeSat/CSSWE/REPTile,CSSWE,REPTile,REPTile,REPTile,ParticleDetector: The REPTile Instrument is a Loaded-Disc Collimated Telescope designed to measure Energetic Electrons and Protons with a Signal to Noise Ratio of two or greater.,yes
spase://SMWG/Instrument/Dawn/Ephemeris,Dawn,Ephemeris,Dawn Positions,Dawn Positions,Platform: Dawn Spacecraft Ephemeris Virtual Instrument,yes
spase://SMWG/Instrument/DynamicsExplorer1/Ephemeris,Dynamics Explorer 1,Ephemeris,DynamicsExplorer1 Positions,DynamicsExplorer1 Positions,Platform: DynamicsExplorer1 spacecraft positions in various coordinate systems,yes
spase://SMWG/Instrument/DynamicsExplorer1/MAGA,Dynamics Explorer 1,MAGA,Magnetic Field Observations (MAG-A),Magnetic Field Observations (MAG-A),"Magnetometer: This investigation used a triaxial fluxgate magnetometer (MAG-A), similar to one on board DE 2, to obtain vector magnetic field data needed to study the magnetosphere-ionosphere- atmosphere coupling.",yes
spase://SMWG/Instrument/DynamicsExplorer1/RIMS,Dynamics Explorer 1,RIMS,"Retarding Ion Mass Spectrometer, RIMS","Retarding Ion Mass Spectrometer, RIMS","RetardingPotentialAnalyser: The Retarding Ion Mass Spectrometer, RIMS, Experiment onboard the DE-1 Satellite was designed to perform Energy and Mass per Charge Analysis on Low Energy Ions (Energy less than 50 eV) with Mass/Charge ranging from 1 amu/Z to 40 amu/Z.",yes
spase://SMWG/Instrument/DynamicsExplorer1/PWI,Dynamics Explorer 1,PWI,Dynamics Explorer 1 Plasma Waves Instrument (PWI),Dynamics Explorer 1 Plasma Waves Instrument (PWI),"ElectrostaticAnalyser: The Plasma Wave Instrument (PWI) measured ac electric fields over the frequency range from 1 Hz to 2 MHz, and an amplitude range of 0.",yes
spase://SMWG/Instrument/DynamicsExplorer2/Ephemeris,Dynamics Explorer 2,Ephemeris,DynamicsExplorer2 Positions,DynamicsExplorer2 Positions,Platform: DynamicsExplorer2 spacecraft positions in various coordinate systems,yes
spase://SMWG/Instrument/DynamicsExplorer2/MAGB,Dynamics Explorer 2,MAGB,Magnetic Field Observations (MAG-B),Magnetic Field Observations (MAG-B),"Magnetometer: A triaxial fluxgate magnetometer (MAG-B), similar to one on board DE 1, was used to obtain magnetic field data needed to study the magnetosphere-ionosphere-atmosphere coupling.",yes
spase://SMWG/Instrument/DynamicsExplorer2/VEFI,Dynamics Explorer 2,VEFI,Vector Electric Field Instrument (VEFI),Vector Electric Field Instrument (VEFI),Antenna: The Vector Electric Field Instrument (VEFI) used flight-proven double-probe techniques with 20-m baselines to obtain measurements of dc electric fields.,yes
spase://SMWG/Instrument/DynamicsExplorer2/RPA,Dynamics Explorer 2,RPA,Retarding Potential Analyzer (RPA),Retarding Potential Analyzer (RPA),"RetardingPotentialAnalyser: The Retarding Potential Analyzer (RPA) measured the bulk ion velocity in the direction of the spacecraft motion, the constituent ion concentrations, and the ion temperature along the satellite path.",yes
spase://SMWG/Instrument/DynamicsExplorer2/NACS,Dynamics Explorer 2,NACS,Neutral Atmosphere Composition Spectrometer (NACS),Neutral Atmosphere Composition Spectrometer (NACS),MassSpectrometer: The Neutral Atmosphere Composition Spectrometer (NACS) was designed to obtain in situ measurements of the neutral atmospheric composition and to study the variations of the neutral atmosphere in response to energy coupled into it from the magnetosphere.,yes
spase://SMWG/Instrument/DynamicsExplorer2/FPI,Dynamics Explorer 2,FPI,Fabry-Perot Interferometer (FPI),Fabry-Perot Interferometer (FPI),"Interferometer: The Fabry-Perot Interferometer (FPI) was a high-resolution remote sensing instrument designed to measure the thermospheric temperature, meridional wind, and density of the following metastable atoms: atomic oxygen (singlet S and D) and the 2P state of ionic atomic oxygen.",yes
spase://SMWG/Instrument/DynamicsExplorer2/LANG,Dynamics Explorer 2,LANG,Langmuir Probe (LANG),Langmuir Probe (LANG),"LangmuirProbe: The Langmuir Probe Instrument (LANG) was a cylindrical electrostatic probe that obtained measurements of electron temperature, Te, and electron or ion concentration, Ne or Ni, respectively, and spacecraft potential.",yes
spase://SMWG/Instrument/DynamicsExplorer2/IDM,Dynamics Explorer 2,IDM,Ion Drift Meter (IDM),Ion Drift Meter (IDM),IonDrift: The Ion Drift Meter (IDM) measured the bulk motions of the ionospheric plasma perpendicular to the satellite velocity vector.,yes
spase://SMWG/Instrument/DynamicsExplorer2/WATS,Dynamics Explorer 2,WATS,Wind and Temperature Spectrometer (WATS),Wind and Temperature Spectrometer (WATS),"MassSpectrometer: The Wind and Temperature Spectrometer (WATS) measured the in situ neutral winds, the neutral particle temperatures, and the concentrations of selected gases.",yes
spase://SMWG/Instrument/DynamicsExplorer1/SAI,Dynamics Explorer 1,SAI,DE 1 Spin-Scan Auroral Imager,DE 1 Spin-Scan Auroral Imager,Imager: The Spin-Scan Auroral Imager (SAI) provided global auroral imaging at visible and ultraviolet wavelengths.,yes
spase://SMWG/Instrument/DynamicsExplorer1/EICS,Dynamics Explorer 1,EICS,DE 1 Energetic Ion Composition Spectrometer,DE 1 Energetic Ion Composition Spectrometer,"Spectrometer: The energetic ion composition spectrometer (EICS) on the DE-A spacecraft is a high sensitivity, high resolution (M/Delta M greater than 10 FWHM at focus) instrument.",yes
spase://SMWG/Instrument/DMSP_5D-3/F16/SESS/SSI/ES-3,DMSP Series,ES-3,"DMSP/F16, SESS Special Sensor Ionospheric Plasma Drift/Scintillation Monitor-3, SESS/SSI/ES-3","DMSP/F16, SESS Special Sensor Ionospheric Plasma Drift/Scintillation Monitor-3, SESS/SSI/ES-3","LangmuirProbe: DMSP/F16, SESS Special Sensor Ionospheric Plasma Drift/Scintillation Monitor-3, SESS/SSI/ES-3, The SSIES measures the ambient electron density and temperatures, ambient ion density, the average ion temperature and molecular weight, the plasma drift and scintillation at the DMSP orbital altitude.",yes
spase://SMWG/Instrument/DMSP_5D-3/F16/SESS/SSJ5,DMSP Series,SSJ5,"DMSP/F16, SESS Special Sensor Precipitating Electron and Ion Spectrometer 5, SESS/SSJ5","DMSP/F16, SESS Special Sensor Precipitating Electron and Ion Spectrometer 5, SESS/SSJ5","Spectrometer: DMSP/F16, SESS Special Sensor Precipitating Electron and Ion Spectrometer 5, SESS/SSJ5, The SSJ5 measures the transfer energy, mass, and momentum through the magnetosphere-ionosphere in the Earth's magnetic field.",yes
spase://SMWG/Instrument/DMSP_5D-3/F16/SESS/SSM-Boom,DMSP Series,SSM-Boom,"DMSP/F16, SESS Special Sensor Magnetometer-Boom, SESS/SSM-Boom","DMSP/F16, SESS Special Sensor Magnetometer-Boom, SESS/SSM-Boom","Magnetometer: DMSP/F16, SESS Special Sensor Magnetometer-Boom, SESS/SSM-Boom, The SSM, a triaxial fluxgate magnetometer, measures geomagnetic fluctuations associated with geophysical phenomena.",yes
spase://SMWG/Instrument/DMSP_5D-3/F17/SESS/SSI/ES-3,DMSP Series,ES-3,"DMSP/F17, SESS Special Sensor Ionospheric Plasma Drift/Scintillation Monitor-3, SESS/SSI/ES-3","DMSP/F17, SESS Special Sensor Ionospheric Plasma Drift/Scintillation Monitor-3, SESS/SSI/ES-3","LangmuirProbe: DMSP/F17, SESS Special Sensor Ionospheric Plasma Drift/Scintillation Monitor-3, SESS/SSI/ES-3, The SSI/ES measures the ambient electron density and temperatures, ambient ion density, the average ion temperature and molecular weight, the plasma drift and scintillation at the DMSP orbital altitude.",yes
spase://SMWG/Instrument/DMSP_5D-3/F17/SESS/SSJ5,DMSP Series,SSJ5,"DMSP/F17, SESS Special Sensor Precipitating Electron and Ion Spectrometer 5, SESS/SSJ5","DMSP/F17, SESS Special Sensor Precipitating Electron and Ion Spectrometer 5, SESS/SSJ5","Spectrometer: DMSP/F17, SESS Special Sensor Precipitating Electron and Ion Spectrometer 5, SESS/SSJ5, The SSJ5 measures the transfer energy, mass, and momentum through the magnetosphere-ionosphere in the Earth's magnetic field.",yes
spase://SMWG/Instrument/DMSP_5D-3/F17/SESS/SSM-Boom,DMSP Series,SSM-Boom,"DMSP/F17, Special Sensor Magnetometer, SESS/SSM-Boom","DMSP/F17, Special Sensor Magnetometer, SESS/SSM-Boom","Magnetometer: DMSP/F17, Special Sensor Magnetometer, SESS/SSM-Boom, The SSM, a triaxial fluxgate magnetometer, measures geomagnetic fluctuations associated with geophysical phenomena.",yes
spase://SMWG/Instrument/DMSP_5D-3/F18/SESS/SSI/ES-3,DMSP Series,ES-3,"DMSP/F18, SESS Special Sensor Ionospheric Plasma Drift/Scintillation Monitor-3, SESS/SSI/ES-3","DMSP/F18, SESS Special Sensor Ionospheric Plasma Drift/Scintillation Monitor-3, SESS/SSI/ES-3","LangmuirProbe: DMSP/F18, SESS Special Sensor Ionospheric Plasma Drift/Scintillation Monitor-3, SESS/SSI/ES-3, The SSI/ES measures the ambient electron density and temperatures, ambient ion density, the average ion temperature and molecular weight, the plasma drift and scintillation at the DMSP orbital altitude.",yes
spase://SMWG/Instrument/DMSP_5D-3/F18/SESS/SSJ5,DMSP Series,SSJ5,"DMSP/F18, SESS Special Sensor Precipitating Electron and Ion Spectrometer 5, SESS/SSJ5","DMSP/F18, SESS Special Sensor Precipitating Electron and Ion Spectrometer 5, SESS/SSJ5","Spectrometer: DMSP/F18, SESS Special Sensor Precipitating Electron and Ion Spectrometer 5, SESS/SSJ5, The SSJ5 measures the transfer energy, mass, and momentum through the magnetosphere-ionosphere in the Earth's magnetic field.",yes
spase://SMWG/Instrument/DMSP_5D-3/F18/SESS/SSM-Boom,DMSP Series,SSM-Boom,"DMSP/F18, Special Sensor Magnetometer, SESS/SSM-Boom","DMSP/F18, Special Sensor Magnetometer, SESS/SSM-Boom","Magnetometer: DMSP/F18, Special Sensor Magnetometer, SESS/SSM-Boom, The SSM, a triaxial fluxgate magnetometer, measures geomagnetic fluctuations associated with geophysical phenomena.",yes
spase://SMWG/Instrument/SuperDARN/Radars,SuperDARN,Radars,SuperDARN Radars,SuperDARN Radars,"Radar: The SuperDARN array consists of 14 northern hemisphere radars and 7 southern hemisphere radars, and techniques for and uncertainties in deriving geophysical parameters from raw radar data.",yes
spase://SMWG/Instrument/DSCOVR/Ephemeris,"Deep Space Climate Observatory, DSCOVR",Ephemeris,"DSCOVR Instrument for Spacecraft Ephemeris, Orbit and Attitude","DSCOVR Instrument for Spacecraft Ephemeris, Orbit and Attitude","Platform: Deep Space Climate Observatory, DSCOVR, Ephemeris Virtual Instrument",yes
spase://SMWG/Instrument/DSCOVR/PlasMag/FluxgateMagnetometer,"Deep Space Climate Observatory, DSCOVR",FluxgateMagnetometer,DSCOVR PlasMag Fluxgate Magnetometer,DSCOVR PlasMag Fluxgate Magnetometer,"Magnetometer: The PlasMag (Plasma Magnetometer) instrument suite of NASA/GSFC and MIT (Massachusetts Institute of Technology) is a comprehensive science and space-weather package that includes a fluxgate vector magnetometer, not present on SOHO, a Faraday Cup solar wind positive ion detector and a top-hat electron electrostatic analyzer.",yes
spase://SMWG/Instrument/DSCOVR/PlasMag/FaradayCup,"Deep Space Climate Observatory, DSCOVR",FaradayCup,DSCOVR PlasMag Faraday Cup,DSCOVR PlasMag Faraday Cup,"FaradayCup: The PlasMag (Plasma Magnetometer) instrument suite of NASA/GSFC and MIT (Massachusetts Institute of Technology) is a comprehensive science and space-weather package that includes a fluxgate vector magnetometer, not present on SOHO, a Faraday Cup solar wind positive ion detector and a top-hat electron electrostatic analyzer.",yes
spase://SMWG/Instrument/Equator-S/Ephemeris,Equator-S,Ephemeris,Equator-S Positions,Equator-S Positions,Platform: Equator-Se spacecraft positions in various coordinate systems,yes
spase://SMWG/Instrument/Equator-S/EDI,Equator-S,EDI,Electron Drift Instrument (EDI),Electron Drift Instrument (EDI),"ElectronDriftInstrument: This instrument measures the displacement of a weak (< 1 microA) beam of test electrons, after one gyration in the ambient magnetic field, that is induced by electric fields or magnetic gradients.",yes
spase://SMWG/Instrument/Equator-S/EPI,Equator-S,EPI,Energetic Particle Instrument (EPI),Energetic Particle Instrument (EPI),"EnergeticParticleInstrument: Physically part of the Three dimensional plasma analyzer (3DA) instrument, EPI consists of an array of solid-state telescopes measuring electrons and ions in the energy range 20 - 226 keV and 20 - 400 keV, respectively, in 6 energy channels and 4 angle channels at a time.",yes
spase://SMWG/Instrument/Equator-S/ICI,Equator-S,ICI,Ion Composition Instrument (ESIC),Ion Composition Instrument (ESIC),"EnergeticParticleInstrument: ESIC measures the 3D distribution functions of the major ion species, H, He+, He++, and O+.",yes
spase://SMWG/Instrument/Equator-S/MAM,Equator-S,MAM,Magnetic Field Instrument (MAM),Magnetic Field Instrument (MAM),"Magnetometer: The magnetic field instrument consists of two three-axis flux-gate magnetometers, one mounted at the end of a 1.",yes
spase://SMWG/Instrument/Equator-S/PCD,Equator-S,PCD,Potential Control Device (PCD),Potential Control Device (PCD),"Unspecified: The purpose of the PCD is to reduce the spacecraft potentials to a few volts, levels sufficiently low to allow plasma particle measurements down to very low energies.",yes
spase://SMWG/Instrument/Equator-S/SFD,Equator-S,SFD,Scintillating Fiber Detector (SFD),Scintillating Fiber Detector (SFD),ScintillationDetector: SFD is based on the light emission property of some materials when hit by ionizing radiation.,yes
spase://SMWG/Instrument/FAST/Ephemeris,FAST,Ephemeris,FAST Position,FAST Position,Platform: FAST spacecraft position in GSE coordinate system,yes
spase://SMWG/Instrument/FAST/MAG,FAST,MAG,Tri-Axial Fluxgate and Search-coil Magnetometers,Tri-Axial Fluxgate and Search-coil Magnetometers,Magnetometer: The FAST magnetic field instrumentation includes a DC fluxgate magnetometer and an AC search coil magnetometer.,yes
spase://SMWG/Instrument/FAST/ESA,FAST,ESA,Electro-Static Analyzers (ESA),Electro-Static Analyzers (ESA),ElectrostaticAnalyser: Sixteen Electro-Static Analyzers (ESAs) configured in four stacks are used for both electron and ion measurements.,yes
spase://SMWG/Instrument/FAST/EFLP,FAST,EFLP,Electric Field and Langmuir Probe Experiment,Electric Field and Langmuir Probe Experiment,"LangmuirProbe: The FAST electric field instrument has ten sensors, two on each of the four 29 m radial wire booms (at 24 m and 29 m) and one on each of the two rigid 3 m axial booms.",yes
spase://SMWG/Instrument/FAST/TEAMS,FAST,TEAMS,Time of Flight Energy Angle Mass Spectrograph,Time of Flight Energy Angle Mass Spectrograph,MassSpectrometer: The Time-of-flight Energy Angle Mass Spectrograph (TEAMS) instrument is a high sensitivity mass resolving spectrometer with an instantaneous 360*8 degrees field of view.,yes
spase://SMWG/Instrument/Ground/Kilpisjarvi/AllSkyCamera,Kilpisjarvi Geophysical Observatory,AllSkyCamera,Kilpisjarvi All Sky Camera,Kilpisjarvi All Sky Camera,Imager: Kilpisjarvi All Sky Camera.,yes
spase://SMWG/Instrument/GOES/10/SEM,Geostationary Operational Environmental Satellites,SEM,Space Environment Monitor (SEM),Space Environment Monitor (SEM),Unspecified: The Space Environment Monitor Subsystem (SEM) measures in situ the effect of the sun on the near-earth solar-terrestrial electromagnetic environment on a real-time basis.,yes
spase://SMWG/Instrument/GOES/10/MAG,Geostationary Operational Environmental Satellites,MAG,"GOES 10, Triaxial Fluxgate Magnetometer","GOES 10, Triaxial Fluxgate Magnetometer","Magnetometer: The following brief instrument description, written after the launch of GOES 8 and 9, but that applies to GOES 8-12, is reproduced, in part, from: Singer, H.",yes
spase://SMWG/Instrument/GOES/11/MAG,Geostationary Operational Environmental Satellites,MAG,"GOES 11, Triaxial Fluxgate Magnetometer","GOES 11, Triaxial Fluxgate Magnetometer","Magnetometer: The following brief instrument description, written after the launch of GOES 8 and 9, but that applies to GOES 8-12, is reproduced, in part, from: Singer, H.",yes
spase://SMWG/Instrument/GOES/12/MAG,Geostationary Operational Environmental Satellites,MAG,"GOES 12, Triaxial Fluxgate Magnetometer","GOES 12, Triaxial Fluxgate Magnetometer","Magnetometer: The following brief instrument description, written after the launch of GOES 8 and 9, but that applies to GOES 8-12, is reproduced, in part, from: Singer, H.",yes
spase://SMWG/Instrument/GOES/6/EPM,Geostationary Operational Environmental Satellites,EPM,Energetic Particle Monitor,Energetic Particle Monitor,"EnergeticParticleInstrument: The GOES 6 Energetic Particle Monitor (EPM) consisted of three detector assemblies, each covering limited regions of the overall energy spectrum.",yes
spase://SMWG/Instrument/GOES/6/MAG,Geostationary Operational Environmental Satellites,MAG,Biaxial Fluxgate Magnetometer,Biaxial Fluxgate Magnetometer,"Magnetometer: The spinning twin-fluxgate magnetometer, located at a few meters away from the spacecraft was designed to provide the orthogonal components of the magnetic field: Hp was parallel to the spin axis that was held nearly in the direction of Earth's axis, He was directed toward Earth center, and Hn pointed eastward.",yes
spase://SMWG/Instrument/GOES/7/EPM,Geostationary Operational Environmental Satellites,EPM,Energetic Particle Monitor,Energetic Particle Monitor,"EnergeticParticleInstrument: The energetic particle monitor consisted of three detector assemblies, each covering limited regions of the overall energy spectrum.",yes
spase://SMWG/Instrument/GOES/7/MAG,Geostationary Operational Environmental Satellites,MAG,Magnetic Field Monitor,Magnetic Field Monitor,"Magnetometer: The spinning twin-fluxgate magnetometer was designed to provide the orthogonal components of the magnetic field: Hp is parallel to the spin axis that was held nearly in the direction of Earth's axis, He that is directed toward Earth center, and Hn that points eastward.",yes
spase://SMWG/Instrument/GOES/8/EPM,Geostationary Operational Environmental Satellites,EPM,Energetic Particle Monitor,Energetic Particle Monitor,"EnergeticParticleInstrument: The energetic particle sensor (now called EP8 instead of EPS) consisted of three independent detectors: (1) EP8 Telescope, (2) Dome Assembly, and (3) High Energy Proton and Alpha Detector (HEPAD).",yes
spase://SMWG/Instrument/GOES/8/MAG,Geostationary Operational Environmental Satellites,MAG,"GOES 8, Triaxial Fluxgate Magnetometer","GOES 8, Triaxial Fluxgate Magnetometer","Magnetometer: The following brief instrument description, written after the launch of GOES 8 and 9, but that applies to GOES 8-12, is reproduced, in part, from: Singer, H.",yes
spase://SMWG/Instrument/GOES/8/Ephemeris,Geostationary Operational Environmental Satellites,Ephemeris,GOES 8 Position,GOES 8 Position,Platform: GOES 8 spacecraft position,yes
spase://SMWG/Instrument/GOES/9/SEM,Geostationary Operational Environmental Satellites,SEM,Space Environment Monitor,Space Environment Monitor,Unspecified: The Space Environment Monitor (SEM) System on the GOES-NEXT series of geostationary meteorological satellites (GOES-I through GOES-M) is designed to provide direct real-time measurement of solar activity.,yes
spase://SMWG/Instrument/GOES/9/MAG,Geostationary Operational Environmental Satellites,MAG,"GOES 9, Triaxial Fluxgate Magnetometer","GOES 9, Triaxial Fluxgate Magnetometer","Magnetometer: The following brief instrument description, written after the launch of GOES 8 and 9, but that applies to GOES 8-12, is reproduced, in part, from: Singer, H.",yes
spase://SMWG/Instrument/GOES/9/Ephemeris,Geostationary Operational Environmental Satellites,Ephemeris,GOES 9 Position,GOES 9 Position,Platform: GOES 9 spacecraft position.,yes
spase://SMWG/Instrument/Galileo/Ephemeris,Galileo,Ephemeris,Galileo Positions,Galileo Positions,Platform: Galileo Spacecraft Ephemeris Virtual Instrument,yes
spase://SMWG/Instrument/Genesis/GIM-GEM,Genesis,GIM-GEM,Genesis Plasma Spectrometers,Genesis Plasma Spectrometers,ElectrostaticAnalyser: There are two solar wind spectrometers on-board the Genesis spacecraft: the Genesis Ion Monitor (GIM) and the Genesis Electron Monitor (GEM).,yes
spase://SMWG/Instrument/Geotail/CPI,Geotail,CPI,Geotail CPI,Geotail CPI,"QuadrisphericalAnalyser: The objective of the Comprehensive Plasma Instrumentation (CPI) investigation is to make comprehensive observations of the three-dimensional velocity distribution functions of electrons and positive ions, with identification of ion species.",yes
spase://SMWG/Instrument/Geotail/MGF,Geotail,MGF,Geotail MGF,Geotail MGF,Magnetometer: The objective of this experiment is to measure the magnetic field variation of the magnetotail in the frequency below 50 Hz.,yes
spase://SMWG/Instrument/Geotail/Ephemeris,Geotail,Ephemeris,Geotail Spacecraft Position,Geotail Spacecraft Position,Platform: Geotail spacecraft position in various coordinate systems,yes
spase://SMWG/Instrument/Geotail/LEP,Geotail,LEP,Geotail Low Energy Particle Experiment,Geotail Low Energy Particle Experiment,QuadrisphericalAnalyser: The low energy particle (LEP) instrument onboard Geotail is designed to make comprehensive observations of plasma and energetic electrons and ions with fine temporal resolution in the terrestrial magnetosphere (mainly magnetotail) and in the interplanetary medium.,yes
spase://SMWG/Instrument/Geotail/CPI/SWA,Geotail,SWA,Solar Wind Analyzer,Geotail CPI,"QuadrisphericalAnalyser: The Solar Wind Analyzer (SWA) of the Comprehensive Plasma Instrumentation (CPI) on Geotail is a quadrispherical plasma analyzer that measures three-dimensional fluxes of ions in the range 150-7,000 eV",yes
spase://SMWG/Instrument/Geotail/CPI/HPA,Geotail,HPA,Geotail Hot Plasma Analyzer,Geotail CPI,QuadrisphericalAnalyser: The Hot Plasma Analyzer (HPA) of the Comprehensive Plasma Instrumentation (CPI) on Geotail is a quadrispherical plasma analyzer that measures three-dimensional fluxes of electrons and ions in the rang,yes
spase://SMWG/Instrument/Geotail/EPIC,Geotail,EPIC,Geotail Energetic Particles and Ion Composition,Geotail Energetic Particles and Ion Composition,"QuadrisphericalAnalyser: The principal objective of the EPIC (Energetic Particles and Ion Composition) investigation is to explore the outer magnetosphere and the distant magnetotail region and obtain information on the origin, transport, storage, acceleration and dynamics of suprathermal and non-thermal particle populations.",yes
spase://SMWG/Instrument/Geotail/PWI,Geotail,PWI,Geotail Plasma Wave Investigation (PWI),Geotail Plasma Wave Investigation (PWI),"WaveformReceiver: Description taken from Matsumoto, H.",yes
spase://SMWG/Instrument/Giotto/Ephemeris,Giotto,Ephemeris,Giotto Positions,Giotto Positions,Platform: Giotto Spacecraft Ephemeris Virtual Instrument,yes
spase://SMWG/Instrument/GOES/10/Ephemeris,Geostationary Operational Environmental Satellites,Ephemeris,GOES 10 Position,GOES 10 Position,Platform: GOES 10 spacecraft position,yes
spase://SMWG/Instrument/GOES/11/Ephemeris,Geostationary Operational Environmental Satellites,Ephemeris,GOES 11 Positions,GOES 11 Positions,Platform: GOES 11 spacecraft position.,yes
spase://SMWG/Instrument/GOES/11/SEM,Geostationary Operational Environmental Satellites,SEM,Environment Monitor,Environment Monitor,Unspecified: The Space Environment Monitor (SEM) System on the GOES-NEXT series of geostationary meteorological satellites (GOES-I through GOES-M) is designed to provide direct real-time measurement of solar activity.,yes
spase://SMWG/Instrument/GOES/12/Ephemeris,Geostationary Operational Environmental Satellites,Ephemeris,GOES 12 Positions,GOES 12 Positions,Platform: GOES 12 spacecraft position.,yes
spase://SMWG/Instrument/GOES/13/EPS,Geostationary Operational Environmental Satellites,EPS,Energetic Particle Monitor,Energetic Particle Monitor,"EnergeticParticleInstrument: The EPS, developed by Assurance Technology Corporation (ATC), (Formerly GE Panametrics Corp.",yes
spase://SMWG/Instrument/GOES/13/Ephemeris,Geostationary Operational Environmental Satellites,Ephemeris,GOES 13 Positions,GOES 13 Positions,Platform: GOES 13 spacecraft ephemeris.,yes
spase://SMWG/Instrument/GOES/13/MAG,Geostationary Operational Environmental Satellites,MAG,Triaxial Fluxgate Magnetometer,Triaxial Fluxgate Magnetometer,"Magnetometer: Each of the GOES-N,O,P satellites have two identical magnetometers, provided by Science Applications International Corporation (SAIC), Inc.",yes
spase://SMWG/Instrument/GOES/13/SEM,Geostationary Operational Environmental Satellites,SEM,Space Environment Monitor,Space Environment Monitor,Unspecified: The Space Environment Monitor is a standard package in all GOES missions.,yes
spase://SMWG/Instrument/GOES/14/EPS,Geostationary Operational Environmental Satellites,EPS,Energetic Particle Monitor,Energetic Particle Monitor,"EnergeticParticleInstrument: The EPS, developed by Assurance Technology Corporation (ATC), (Formerly GE Panametrics Corp.",yes
spase://SMWG/Instrument/GOES/14/Ephemeris,Geostationary Operational Environmental Satellites,Ephemeris,GOES 14 Positions,GOES 14 Positions,Platform: GOES 14 spacecraft ephemeris.,yes
spase://SMWG/Instrument/GOES/14/MAG,Geostationary Operational Environmental Satellites,MAG,Triaxial Fluxgate Magnetometer,Triaxial Fluxgate Magnetometer,"Magnetometer: Each of the GOES-N,O,P satellites have two identical magnetometers, provided by Science Applications International Corporation (SAIC), Inc.",yes
spase://SMWG/Instrument/GOES/14/SEM,Geostationary Operational Environmental Satellites,SEM,Space Environment Monitor,Space Environment Monitor,Unspecified: The Space Environment Monitor is a standard package in all GOES missions.,yes
spase://SMWG/Instrument/GOES/15/EPS,Geostationary Operational Environmental Satellites,EPS,Energetic Particle Monitor,Energetic Particle Monitor,"EnergeticParticleInstrument: The EPS, developed by Assurance Technology Corporation (ATC), (Formerly GE Panametrics Corp.",yes
spase://SMWG/Instrument/GOES/15/Ephemeris,Geostationary Operational Environmental Satellites,Ephemeris,GOES 15 Positions,GOES 15 Positions,Platform: GOES 15 spacecraft ephemeris.,yes
spase://SMWG/Instrument/GOES/15/MAG,Geostationary Operational Environmental Satellites,MAG,Triaxial Fluxgate Magnetometer,Triaxial Fluxgate Magnetometer,"Magnetometer: Each of the GOES-N,O,P satellites have two identical magnetometers, provided by Science Applications International Corporation (SAIC), Inc.",yes
spase://SMWG/Instrument/GOES/15/SEM,Geostationary Operational Environmental Satellites,SEM,Space Environment Monitor,Space Environment Monitor,Unspecified: The Space Environment Monitor is a standard package in all GOES missions.,yes
spase://SMWG/Instrument/GOES/16/Ephemeris,Geostationary Operational Environmental Satellites,Ephemeris,GOES 16 Positions,GOES 16 Positions,Platform: GOES 16 Spacecraft Ephemeris,yes
spase://SMWG/Instrument/GOES/17/Ephemeris,Geostationary Operational Environmental Satellites,Ephemeris,GOES 17 Positions,GOES 17 Positions,Platform: GOES 17 Spacecraft Ephemeris,yes
spase://SMWG/Instrument/GOLD,GOLD,GOLD,GOLD,GOLD,Photometer: The Global-scale Observations of the Limb and Disk (GOLD) mission is a heliophysics Mission of Opportunity for NASA’s Explorers program.,yes
spase://SMWG/Instrument/IGS/GPS_Receiver,International GNSS Service (IGS),GPS_Receiver,International GNSS Service (IGS) GPS Receiver,International GNSS Service (IGS) GPS Receiver,WaveformReceiver: The GPS receiver in each tracking station within the International GNSS Service (IGS) global network generates raw orbit and tracking data.,yes
spase://SMWG/Instrument/Helios1/E3,Helios 1,E3,Fluxgate Magnetometer for Average Fields,Fluxgate Magnetometer for Average Fields,"Magnetometer: This experiment (E3) consisted of a boom-mounted, triaxial-fluxgate magnetometer.",yes
spase://SMWG/Instrument/Helios2/E3,Helios Mission,E3,Fluxgate Magnetometer for Average Fields,Fluxgate Magnetometer for Average Fields,Magnetometer: This experiment (E3) consisted of a boom-mounted triaxial-fluxgate magnetometer.,yes
spase://SMWG/Instrument/Helios1/E1,Helios 1,E1,Helios 1 E1 Plasma Experiment,Helios 1 E1 Plasma Experiment,ElectrostaticAnalyser: The E1 plasma experiment aboard the Helios solar probes consists of four independent instruments designed to investigate the solar wind plasma.,yes
spase://SMWG/Instrument/Helios1/E6,Helios 1,E6,Cosmic Ray Particles,Cosmic Ray Particles,"EnergeticParticleInstrument: The objective of the experiment (E6) was to study high-energy, charged, cosmic-ray particles of solar, planetary, and galactic origin in interplanetary space.",yes
spase://SMWG/Instrument/Helios1/Ephemeris,Helios 1,Ephemeris,Helios 1 Position,Helios 1 Position,Platform: Helios 1 spacecraft position in various coordinate systems,yes
spase://SMWG/Instrument/Helios2/E1,Helios Mission,E1,Helios 2 E1 Plasma Experiment,Helios 2 E1 Plasma Experiment,ElectrostaticAnalyser: The E1 plasma experiment aboard the Helios solar probes consists of four independent instruments designed to investigate the solar wind plasma.,yes
